Batch_Name,DATE,COUNTS
Batch33,7/10/2020,66
Batch33,7/11/2020,66
Batch33,7/12/2020,66
Batch33,7/13/2020,66
Batch33,7/14/2020,66
Batch33,7/15/2020,66
Batch33,7/16/2020,66
Batch33,7/17/2020,66
Batch33,7/18/2020,66
Batch33,7/19/2020,66
Batch33,7/20/2020,66
Batch33,7/21/2020,66
Batch34,5/22/2020,12
Batch34,5/23/2020,12
Batch34,5/24/2020,12
Batch34,5/25/2020,12
Batch34,5/26/2020,12
Batch34,5/27/2020,12
Batch34,5/28/2020,12
Batch34,5/29/2020,12
Batch34,5/30/2020,12
Batch34,5/31/2020,12
Batch34,6/1/2020,12
Batch34,6/2/2020,12
Batch34,6/3/2020,12
Batch34,6/4/2020,12
Batch34,6/5/2020,12
Batch34,6/6/2020,12
Batch34,6/7/2020,12
